title,cast,director,genres,keywords,title,overview,tagline
Transcendence,"['Johnny Depp', 'Paul Bettany', 'Rebecca Hall', 'Kate Mara', 'Morgan Freeman']",Wally Pfister,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']","['artificial intelligence', 'technology', 'nanotechnology', 'computer virus', 'super computer', 'resurrection', 'love', 'mind control', 'terrorism', 'scientist', 'extremist', 'moral dilemma', 'computer scientist', 'mind transfer', 'quantum computer', 'mind uploading']",Transcendence,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.","Yesterday, Dr. Will Caster was only human..."
Jurassic Park III,"['Sam Neill', 'William H. Macy', 'Téa Leoni', 'Trevor Morgan', 'Alessandro Nivola']",Joe Johnston,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'velociraptor', 'spinosaurus', 'airplane', 'rescue', 'mission', 'dinosaur', 'jurassic park']",Jurassic Park III,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.","This time, it's not just a walk in the park!"
Rise of the Planet of the Apes,"['James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton']",Rupert Wyatt,"['Thriller', 'Action', 'Drama', 'Science Fiction']","['intelligence', 'zoo', 'cage', 'dystopia', 'golden gate bridge', 'ape', 'monkey', 'medical research', ""alzheimer's disease""]",Rise of the Planet of the Apes,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.",Evolution Becomes Revolution.
The Spiderwick Chronicles,"['Freddie Highmore', 'Mary-Louise Parker', 'Nick Nolte', 'Sarah Bolger', 'Andrew McCarthy']",Mark Waters,"['Adventure', 'Family', 'Fantasy']","['brother sister relationship', 'family relationships', 'single mother', 'alternate reality', 'mother child relationship', 'hidden truth', 'goblin', 'magical creature', 'fairies']",The Spiderwick Chronicles,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",Their World Is Closer Than You Think.
A Good Day to Die Hard,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Юлия Снигирь']",John Moore,"['Action', 'Thriller']","['bomb', 'cia', 'russia', 'escape', 'courthouse', 'rogue', 'moscow']",A Good Day to Die Hard,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",Yippee Ki-Yay Mother Russia
The Alamo,"['Dennis Quaid', 'Billy Bob Thornton', 'Jason Patric', 'Patrick Wilson', 'Emilio Echevarría']",John Lee Hancock,"['Western', 'History', 'War']","['texas', 'officer', 'uprising', 'alamo', 'mexican']",The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",You will never forget
The Incredibles,"['Craig T. Nelson', 'Holly Hunter', 'Samuel L. Jackson', 'Jason Lee', 'Dominique Louis']",Brad Bird,"['Action', 'Adventure', 'Animation', 'Family']","['secret identity', 'secret', 'hero', 'island', 'wretch', 'supernatural powers', 'weapon', 'lawsuit', 'superhero']",The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.","No gut, no glory"
Cutthroat Island,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",Renny Harlin,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']",Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
Percy Jackson & the Olympians: The Lightning Thief,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Sean Bean']",Chris Columbus,"['Adventure', 'Fantasy', 'Family']","['monster', 'greek mythology', 'god', 'poseidon \xa0', 'lightning bolt', 'based on young adult novel']",Percy Jackson & the Olympians: The Lightning Thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Worlds Collide
Men in Black,"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino', ""Vincent D'Onofrio"", 'Rip Torn']",Barry Sonnenfeld,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","['secret identity', 'sun glasses', 'undercover', 'space marine', 'illegal immigration', 'deportation', 'new identity', 'giant cockroach', 'cannon', 'flying saucer', 'stay permit', 'alien', 'fictional government agency']",Men in Black,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",Protecting the Earth from the scum of the universe.
Toy Story 2,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer', 'Don Rickles']",John Lasseter,"['Animation', 'Comedy', 'Family']","['museum', 'prosecution', 'identity crisis', 'airplane', 'flea market', 'collector', 'teamwork', 'friendship', 'rescue team', 'garage sale', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life']",Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",The toys are back!
Unstoppable,"['Denzel Washington', 'Chris Pine', 'Rosario Dawson', 'Ethan Suplee', 'Kevin Corrigan']",Tony Scott,"['Action', 'Thriller']",['runaway train'],Unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.","1,000,000 Tons. 100,000 Lives. 100 Minutes."
Rush Hour 2,"['Chris Tucker', 'Jackie Chan', 'Zhang Ziyi', 'Roselyn Sánchez', 'Ernie Reyes, Jr.']",Brett Ratner,"['Action', 'Comedy', 'Crime', 'Thriller']",['duringcreditsstinger'],Rush Hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",Get ready for a second Rush!
What Lies Beneath,"['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid', 'James Remar', 'Miranda Otto']",Robert Zemeckis,"['Drama', 'Horror', 'Mystery', 'Thriller']","['secret', 'haunted house', 'ouija board', 'haunting', 'missing girl', 'ghost']",What Lies Beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",He was the perfect husband until his one mistake followed them home.
Cloudy with a Chance of Meatballs,"['Bill Hader', 'Anna Faris', 'James Caan', 'Mr. T', 'Benjamin Bratt']",Phil Lord,"['Animation', 'Comedy', 'Family']","['weather', 'food', 'science']",Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",Prepare to get served.
Ice Age: Dawn of the Dinosaurs,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Simon Pegg']",Carlos Saldanha,"['Animation', 'Comedy', 'Family', 'Adventure']","['ice age', 'bridge', 'insanity', 'jungle', 'dinosaur', 'birth', 'duringcreditsstinger', '3d']",Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",You Won't Believe Your Ice!
The Secret Life of Walter Mitty,"['Ben Stiller', 'Kristen Wiig', 'Patton Oswalt', 'Shirley MacLaine', 'Adam Scott']",Ben Stiller,"['Adventure', 'Comedy', 'Drama', 'Fantasy']","['himalaya', 'photographer', 'magazine', 'iceland', 'daydream', 'photograph', 'shark', 'fired from the job', 'skateboard', 'dreamer', 'online dating', 'daydreaming']",The Secret Life of Walter Mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,"Stop Dreaming, Start Living"
Charlie's Angels,"['Cameron Diaz', 'Lucy Liu', 'Drew Barrymore', 'Bill Murray', 'John Forsythe']",McG,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['martial arts', 'female friendship', 'millionaire', 'agent']",Charlie's Angels,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software.",Get Some Action
The Departed,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen']",Martin Scorsese,"['Drama', 'Thriller', 'Crime']","['undercover', 'boston', 'police', 'friends', 'mafia', 'undercover cop', 'mobster', 'mole', 'state police', 'police training', 'realtor']",The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",Lies. Betrayal. Sacrifice. How far will you take it?
Mulan,"['Eddie Murphy', 'Jackie Chan', 'Ming-Na Wen', 'Lea Salonga', 'June Foray']",Tony Bancroft,"['Animation', 'Family', 'Adventure']","['homeland', 'musical', 'training', 'daughter', 'cricket', 'princess', 'dragon', 'luck']",Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.","This time, the princess saves the prince."
Tropic Thunder,"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.', 'Nick Nolte', 'Steve Coogan']",Ben Stiller,"['Action', 'Comedy']","['film making', 'satire', 'jungle', 'movie star', 'southeast asia', 'land mine', 'shackles', 'war filmmaking', 'duringcreditsstinger', 'blackface', 'method acting']",Tropic Thunder,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",The movie they think they're making... isn't a movie anymore.
The Girl with the Dragon Tattoo,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Goran Visnjic', 'Stellan Skarsgård']",David Fincher,"['Thriller', 'Crime', 'Mystery', 'Drama']","['rape', 'journalist', 'based on novel', 'journalism', 'hacker', 'nazis', 'punk', 'investigation', 'remake', 'antisocial personality disorder', 'serial killer', 'disappearance', 'hacking', 'computer hacker', 'bible quote', 'scandinavian', 'abuse']",The Girl with the Dragon Tattoo,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",Evil shall with evil be expelled.
Die Hard: With a Vengeance,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp']",John McTiernan,"['Action', 'Thriller']","['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']",Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",Think fast. Look alive. Die hard.
Sherlock Holmes,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong', 'Eddie Marsan']",Guy Ritchie,"['Action', 'Adventure', 'Crime', 'Mystery']","['detective', 'scotland yard', 'coffin', 'black magic', 'arrest', 'partner', 'sherlock holmes', 'murder', 'steampunk', 'pentagram', 'clue']",Sherlock Holmes,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Nothing escapes him.
Ben-Hur,"['Jack Huston', 'Toby Kebbell', 'Rodrigo Santoro', 'Nazanin Boniadi', 'Ayelet Zurer']",Timur Bekmambetov,['Drama'],"['betrayal', 'vengeance']",Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,First to finish. Last to die.
Atlantis: The Lost Empire,"['Michael J. Fox', 'Corey Burton', 'Claudia Christian', 'James Garner', 'John Mahoney']",Gary Trousdale,"['Animation', 'Family', 'Adventure', 'Science Fiction']","['sea', 'atlantis', 'animation', 'underwater', 'sea monster']",Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",Atlantis is waiting...
Alvin and the Chipmunks: The Road Chip,"['Jason Lee', 'Justin Long', 'Bella Thorne', 'Matthew Gray Gubler', 'Jesse McCartney']",Walt Becker,"['Adventure', 'Animation', 'Comedy', 'Family']","['chipmunk', 'cgi', 'talking animal', 'aftercreditsstinger', 'duringcreditsstinger']",Alvin and the Chipmunks: The Road Chip,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",Fast & furry-ous
Valkyrie,"['Tom Cruise', 'Carice van Houten', 'Kenneth Branagh', 'Bill Nighy', 'Terence Stamp']",Bryan Singer,"['Drama', 'Thriller', 'History', 'War']","['berlin', 'suicide', 'bomb', 'assassination', 'resistance', 'wife husband relationship', 'world war ii', 'adolf hitler', 'plan', 'friendship', 'deception', 'treason', 'colonel', 'military officer', 'plot', 'german officer', 'piano wire', 'medal', 'violence']",Valkyrie,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",Many saw evil. They dared to stop it.
You Don't Mess with the Zohan,"['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan']",Dennis Dugan,"['Comedy', 'Action']","['new york', 'israel', 'middle east', 'hairdresser', 'ladykiller', 'mossad', 'israeli', 'palestinian', 'heart-throb', 'middle east conflict', 'hairstyle', 'hacky sack']",You Don't Mess with the Zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,Lather. Rinse. Save the world.
Pixels,"['Adam Sandler', 'Michelle Monaghan', 'Peter Dinklage', 'Josh Gad', 'Kevin James']",Chris Columbus,"['Action', 'Comedy', 'Science Fiction']","['video game', 'nerd', 'alien attack', '3d', 'pixels']",Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,Game On.
A.I. Artificial Intelligence,"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'Jude Law']",Steven Spielberg,"['Drama', 'Science Fiction', 'Adventure']","['artificial intelligence', 'prophecy', 'prostitute', 'android', 'loss of mother', 'extraterrestrial technology', 'ice age', 'adoption', 'fairy tale', 'pinocchio', 'prosecution', 'gigolo', 'hologram', 'dystopia', 'alien', 'destiny', 'capture', 'doppelganger']",A.I. Artificial Intelligence,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.","David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not."
The Haunted Mansion,"['Eddie Murphy', 'Terence Stamp', 'Nathaniel Parker', 'Marsha Thomason', 'Jennifer Tilly']",Rob Minkoff,"['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']","['secret passage', 'magic', 'estate agent', 'haunted house', 'family vacation', 'ghost', 'aftercreditsstinger']",The Haunted Mansion,"Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.",Check your pulse at the door... if you have one.
Contact,"['Jodie Foster', 'Matthew McConaughey', 'James Woods', 'John Hurt', 'Tom Skerritt']",Robert Zemeckis,"['Drama', 'Science Fiction', 'Mystery']","['based on novel', 'nasa', 'new mexico', 'extraterrestrial technology', 'prime number', 'star', 'radio wave', 'wormhole', 'fanatic', 'spirituality', 'religion', 'scientist', 'sabotage', 'ham radio', 'alien contact', 'mechanical engineering', 'observatory', 'eccentric man', 'radio telescope']",Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.","If it's just us, it seems like an awful waste of space."
Hollow Man,"['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin', 'Kim Dickens', 'Rhona Mitra']",Paul Verhoeven,"['Action', 'Science Fiction', 'Thriller']","['killing', 'human experimentation', 'scientist', 'invisible man', 'science experiment']",Hollow Man,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",What would you do if you knew you couldn't be seen?
The Interpreter,"['Nicole Kidman', 'Sean Penn', 'Catherine Keener', 'Jesper Christensen', 'Yvan Attal']",Sydney Pollack,"['Crime', 'Thriller']","['new york', 'dictator', 'africa', 'destruction of a civilization', 'assassination', 'resistance', 'revenge', 'murder', 'united nations', 'witness to murder', 'fbi agent', 'resistance fighter']",The Interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",The truth needs no translation.
Percy Jackson: Sea of Monsters,"['Logan Lerman', 'Alexandra Daddario', 'Douglas Smith', 'Leven Rambin', 'Brandon T. Jackson']",Thor Freudenthal,"['Adventure', 'Family', 'Fantasy']","['poison', 'hermes', 'poseidon', 'demigod', 'golden fleece', 'olympus', '3d', 'kronos', 'overthrow olympus', 'based on young adult novel']",Percy Jackson: Sea of Monsters,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.","Where There Are Gods, There Are Monsters."
Lara Croft Tomb Raider: The Cradle of Life,"['Angelina Jolie', 'Gerard Butler', 'Noah Taylor', 'Djimon Hounsou', 'Til Schweiger']",Jan de Bont,"['Action', 'Adventure', 'Fantasy', 'Thriller']","['riddle', 'treasure', 'medallion', 'kenia', 'alexander the great', ""pandora's box"", 'chinese mafia', 'treasure hunt', 'hong kong', 'archaeologist', 'based on video game', 'archeology\xa0']",Lara Croft Tomb Raider: The Cradle of Life,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box
Now You See Me 2,"['Jesse Eisenberg', 'Woody Harrelson', 'Mark Ruffalo', 'Dave Franco', 'Morgan Freeman']",Jon M. Chu,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","['london england', 'china', 'magic', 'secret society', 'vigilante', 'sequel', 'revenge', 'heist', 'on the run', 'macau china', 'magician']",Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",You Haven't Seen Anything Yet
The Saint,"['Val Kilmer', 'Elisabeth Shue', 'Rade Serbedzija', 'Henry Goodman', 'Alun Armstrong']",Phillip Noyce,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']","['berlin', 'russia', 'gas', 'master thief', 'the saint']",The Saint,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",Never reveal your name. Never turn your back. Never surrender your heart.
Spy Game,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman']",Tony Scott,"['Action', 'Crime', 'Thriller']","['spy', 'china', 'cia', 'cold war']",Spy Game,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.",It's not how you play the game. It's how the game plays you.
Mission to Mars,"['Gary Sinise', 'Tim Robbins', 'Don Cheadle', 'Connie Nielsen', ""Jerry O'Connell""]",Brian De Palma,['Science Fiction'],"['mars', 'spacecraft', 'space travel', 'alien', 'long take', 'outer space', 'astronaut', 'dismemberment', 'alien contact', 'trapped in space']",Mission to Mars,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",Let There Be Life.
Rio,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jane Lynch', 'Will.i.am']",Carlos Saldanha,"['Animation', 'Adventure', 'Comedy', 'Family']","['brazil', 'pet', 'bird', 'musical', 'canary', 'samba', 'animal', 'duringcreditsstinger', 'rio 1', 'río 1']",Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.
Bicentennial Man,"['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Oliver Platt', 'Kiersten Warren']",Chris Columbus,"['Comedy', 'Science Fiction']","['android', 'hologram', 'freedom', 'futuristic', 'robot']",Bicentennial Man,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",One robot's 200 year journey to become an ordinary man.
Volcano,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann', 'Don Cheadle', 'Joshua Fardon']",Mick Jackson,"['Science Fiction', 'Action', 'Drama', 'Thriller']","['subway', 'lava', 'volcano', 'volcanologist', 'los angeles']",Volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",The coast is toast
The Devil's Own,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams']",Alan J. Pakula,"['Crime', 'Thriller', 'Drama']","['new york', 'terrorist', 'anonymity', 'northern ireland']",The Devil's Own,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.","They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war."
K-19: The Widowmaker,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard', 'Joss Ackland', 'John Shrapnel']",Kathryn Bigelow,"['Drama', 'History', 'Thriller']","['submarine', 'soviet union', 'core melt', 'north atlantic', 'nuclear', 'woman director']",K-19: The Widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",Fate has found its hero.
Conan the Barbarian,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman', 'Cassandra Gava']",John Milius,"['Adventure', 'Fantasy', 'Action']","['gladiator', 'repayment', 'despot', 'barbarian', 'sword and sorcery']",Conan the Barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",Thief. Warrior. Gladiator. King.
Cinderella Man,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Paddy Considine']",Ron Howard,"['Romance', 'Drama', 'History']","['transporter', 'netherlands', 'world cup', 'socially deprived family', ""family's daily life"", 'boxer', 'boxing match', 'comeback', 'training', 'heavy weight', 'folk hero', 'biography', 'daughter', 'defeat', 'sport']",Cinderella Man,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",One man's extraordinary fight to save the family he loved.
